序号,项目编号,项目名称,实施方式,时间计划,投入估算（万元）,相关业务板块,项目启动条件,项目收益,涉及AI技术,模型选择,数据需求与来源,可行性分析,目标用户,落地路径,相关案例
82,,招标投标智能生成系统,合作开发,2026Q2-2027Q2,8,运营管理,完成招标需求文档梳理、获取历史投标数据及关联企业信息库访问权限、确定合作定制开发厂商并签订合同,自动生成不同类别标书，识别投标方关联关系提示围标风险,自然语言处理（NLP）、信息抽取、文本生成、知识图谱（用于关联企业信息识别）、风险识别算法,大模型,数据需求包括：招标需求文档结构化数据、历史投标文档全文数据、企业工商注册信息、企业股权关系数据、企业关联交易数据、相似项目招标文件模板数据、投标风险案例数据。数据来源为：公司内部招标管理系统、历史投标档案库、第三方企业信息查询平台（如天眼查、企查查）、行业公开招标信息网站、合作定制开发厂商提供的相关案例数据库。,可行性高：技术层面，所涉及的自然语言处理、信息抽取、知识图谱等AI技术已相对成熟，且有合作定制开发厂商支持，能保障技术实现；数据层面，明确了招标需求文档结构化数据、历史投标文档等多类数据需求，来源涵盖公司内部系统、第三方平台及厂商案例库，数据获取渠道稳定；实施条件上，项目启动条件清晰，完成招标需求文档梳理等前期工作即可推进，实施方式为合作定制，可借助厂商经验加速落地。,各业务部门、法务部门,1.模板体系：构建招标投标模板库和条款库；2.智能生成：开发招标文件自动生成和优化算法；3.合规检查：建立招标内容合规性审查机制；4.系统开发：构建招标投标智能管理平台；5.流程优化：设计全流程电子化招标管理流程,"企业名称：企业1（服务某医药流通企业）
应用技术：NLP招标文件解析、知识图谱库、合规性检查引擎
投资金额：未公开
目标：提升投标文件制作效率，降低废标率。
降本/增效/提质：标书制作周期从7天缩短至3天，废标率从18%降至2%；技术参数响应准确率从72%提升至96%。
来源网址：[已脱敏链接]"
83,,智能续约管理系统,合作开发,2027Q1-2028Q1,5,运营管理,合同数据整合，续约规则数据化，预警机制建立,智能监控合同到期情况，提前提醒续约，避免合同断档,规则引擎、自动化提醒,小模型,合同数据、续约规则、历史数据,可行性高：续约规则相对明确,法务部门、各业务部门,1.合同管理：构建合同全生命周期管理体系；2.预警系统：开发合同到期预警和风险评估模型；3.智能分析：构建续约价值评估和条款优化算法；4.系统开发：构建智能续约管理平台；5.流程设计：设计续约审批和执行管理流程,"企业名称：企业49（服务某连锁药店）
应用技术：合同条款智能提取、自动续约规则引擎、电子合同签署
投资金额：未公开
目标：优化供应商续约流程，降低人工干预成本。
降本/增效/提质：续约审批效率提升60%，合同遗漏率从15%降至3%；通过智能预警系统，关键条款遗忘率下降80%。
来源网址：[已脱敏链接]"
84,,税务管理小助手,合作开发,2026Q1-2026Q3,5,运营管理,税务数据整合，税务政策知识库建设,结合税法知识库与历史稽查案例，推荐区域性税收优惠政策适用方案，避免人为误判导致的合规风险,RPA、税务计算、政策解读,大模型,税务数据、政策数据、业务数据,可行性高：税务规则相对明确,财务管理部,1.税务知识库：建立税收法规库和政策解读库；2.智能分析：开发税务风险识别和筹划建议算法；3.申报辅助：构建税务申报自动填写和审核系统；4.系统开发：构建税务管理小助手平台；5.培训支持：提供税务知识培训和咨询服务,"企业名称：企业11
应用技术：OCR发票识别、税务规则引擎、智能风险预警
投资金额：未公开
目标：提升税务处理效率，降低稽查风险。
降本/增效/提质：单张发票处理时间从5分钟缩短至30秒，税务合规风险事件减少50%；通过智能分析集采业务税收优惠，年节省税费超200万元。
来源网址：[已脱敏链接]"
85,,智能绩效评估系统,合作开发,2027Q1-2028Q1,8,运营管理,绩效数据整合，评估指标体系建立,智能化员工绩效评估，提供客观公正的评估结果,数据分析、绩效评估模型,小模型,员工绩效数据、业务数据、评估标准,可行性高：绩效数据相对完整,人力资源部,1.KPI体系：构建绩效评估指标体系和权重模型；2.数据整合：收集员工绩效数据和业务数据；3.算法开发：开发绩效评估和预测分析模型；4.系统开发：构建智能绩效评估平台；5.反馈机制：建立绩效反馈和改进跟踪系统,"企业名称：企业50（服务某连锁药房）
应用技术：多维度指标分析、动态目标分解、智能评分模型
投资金额：未公开
目标：优化绩效考核体系，提升销售动力。
降本/增效/提质：营业员全品类销售任务完成率提升40%，顾客投诉率下降52%；人效提升33%，库存周转率提高25%。
来源网址：[已脱敏链接]-soft.cn/info/2025101135976.html"
86,,员工绩效智能助理,合作开发,2027Q1-2028Q1,8,运营管理,完成员工绩效相关数据接口对接，确保销售业绩、项目完成率、服务满意度等数据可实时获取；2.组建包含AI技术人员、人力资源专家、业务部门代表的项目团队；3.明确绩效评估指标体系及改进建议生成规则；4.获得公司管理层对项目资源支持的审批。,基于员工绩效数据（销售业绩、项目完成率、服务满意度），提供实时反馈（如“本月销售业绩未达标，建议重点跟进XX客户”）与改进建议，支持绩效面谈话术生成（如“如何沟通绩效短板”）,自然语言处理（NLP）、数据挖掘、机器学习模型（如回归分析、分类算法）、知识图谱,大模型+小模型,数据需求包括员工基本信息、销售业绩数据（如销售额、销售增长率、销售目标达成率）、项目完成率（如项目按时交付率、项目质量评分）、服务满意度数据（如客户满意度评分、服务投诉记录）；数据来源为公司CRM系统、项目管理平台、人力资源管理系统、客户反馈收集平台及业务部门定期上报的数据报表。,可行性高：从数据基础看，所需员工绩效相关数据（销售业绩、项目完成率等）明确且可从现有CRM、项目管理等系统获取，数据接口对接条件成熟。技术层面，自然语言处理、数据挖掘及机器学习模型等主流AI技术已具备成熟应用案例，合作定制模式可依托专业技术团队实现功能落地。业务价值显著，能为人力资源及业务部门提供实时绩效反馈与改进建议，提升绩效管理效率和面谈质量，符合公司运营管理优化需求。项目启动条件清晰，团队组建、指标体系及管理层审批等要求可通过常规项目推进流程达成，整体实施风险可控。,人力资源部,1.目标管理：构建绩效目标设定和跟踪体系；2.智能分析：开发绩效数据分析和趋势预测算法；3.反馈生成：构建个性化绩效反馈和改进建议系统；4.系统开发：构建员工绩效智能助理平台；5.应用推广：设计绩效辅导和提升流程,"企业名称：企业51（医药研发与流通一体化企业）
应用技术：AI教练对话系统、行为数据分析、个性化培训推荐
投资金额：未公开
目标：提升员工技能，优化绩效辅导。
降本/增效/提质：新员工专业知识考核成绩平均提升20分，拜访技巧首次通过率从62%提升至97%；经理辅导时间节省40%。
来源网址：[已脱敏链接]"
87,,公共知识库管理平台,合作开发,2028Q1-2028Q4,8,运营管理,知识资产梳理，知识分类标准建立，知识图谱构建,建设企业公共知识库（包含公司内部规章制度、操作流程、运营规范等），支持文档智能分类管理、文档检索与知识问答，实现知识共享和传承，提升组织学习能力,知识图谱、NLP、知识管理,大模型,企业文档、专业知识、经验数据,可行性中：需要大量知识数据整理,办公室、各业务部门,1.知识体系：构建企业知识分类体系和标签系统；2.智能检索：开发知识检索和关联推荐算法；3.内容管理：构建知识库内容审核和更新机制；4.系统开发：构建公共知识库管理平台；5.应用推广：设计知识共享和协作机制,"企业名称：企业52
应用技术：医疗大模型、知识图谱构建、智能问答系统
投资金额：未公开
目标：提升内部知识共享效率，支持决策科学性。
降本/增效/提质：员工知识查询响应时间从30分钟缩短至3分钟，跨部门协作效率提升50%；通过智能分析临床数据，新品研发周期缩短15%。
来源网址：[已脱敏链接]"
88,,智能流程优化系统,合作开发,2027Q2-2028Q2,11,运营管理,业务流程数据化，流程分析工具部署,智能分析和优化业务流程，提高运营效率和质量,流程挖掘、优化算法,小模型,流程数据、业务数据、效率指标,可行性中：需要流程挖掘技术,运营管理部、各业务部门,1.流程挖掘：构建业务流程数据采集和分析体系；2.瓶颈识别：开发流程瓶颈识别和优化建议算法；3.模拟优化：构建流程改进方案模拟和评估系统；4.系统开发：构建智能流程优化平台；5.持续改进：建立流程优化闭环管理机制,"以顺丰""超脑""和观远数据的智能平台为代表，它们通过大数据、AI算法和数字孪生技术，将整个物流链条数字化、可视化。这使得企业能够进行精准的预测（如提前48小时预测货量）、模拟不同方案的效果，并实现毫秒级的智能调度，从而大幅提升决策效率和准确性。
[已脱敏链接]
[已脱敏链接]"
89,,智能合规管理系统,合作开发,2026Q2-2027Q2,8,运营管理,合规规则数据化，合规检查流程标准化,自动化合规检查和管理，降低合规风险，提高合规效率,规则引擎、合规检查,大模型,合规规则数据、业务数据、检查记录,可行性高：合规规则相对明确,质量管理中心、审计内控部,1.合规框架：构建企业合规管理框架和标准；2.风险识别：开发合规风险识别和评估算法；3.监测系统：构建实时合规监测和预警系统；4.系统开发：构建智能合规管理平台；5.培训体系：建立合规培训和意识提升机制,"企业名称：企业53（服务某医药流通企业）
应用技术：AI前置审方、知识图谱、实时风险预警
投资金额：未公开
目标：提升医保合规性，降低审核成本。
降本/增效/提质：医保审核效率提升3倍，违规行为识别准确率达98%；通过智能监控药品流通数据，质量风险事件减少60%。
来源网址：[已脱敏链接]"
90,,智能供应商管理平台,合作开发,2027Q1-2028Q1,11,运营管理,供应商数据整合（批发+零售），管理流程数据化,全面管理供应商全生命周期，提高供应商管理效率,供应商管理、数据分析,小模型,供应商数据、交易数据、绩效数据,可行性高：供应商数据相对完整,供应链业务部门,1.评估体系：构建供应商评估指标体系和模型；2.数据整合：收集供应商绩效数据和风险数据；3.算法开发：开发供应商分类和优化算法；4.系统开发：构建智能供应商管理平台；5.协同机制：建立供应商协同和发展管理体系,"企业名称：企业54（服务某药企）
应用技术：AI智能拓客、供应商健康度评分、动态资源匹配
投资金额：未公开
目标：优化供应商全生命周期管理，降低合作风险。
降本/增效/提质：潜在线索转化率提升50%，供应商合规风险事件减少70%；终端开发成本下降35%，首单上量周期缩短20%。
来源网址：[已脱敏链接]"
91,,智能客户关系管理,合作开发,2027Q1-2027Q3,8,运营管理,客户数据整合，CRM系统升级，客户画像模型建立,智能化客户关系管理，提升客户满意度和忠诚度,客户管理、数据分析、机器学习,大模型,客户数据、交易数据、互动数据,可行性高：客户数据相对完整,客户服务部、销售部门,1.客户画像：构建360度客户视图和画像体系；2.智能分析：开发客户价值评估和需求预测算法；3.自动化营销：构建智能营销活动和客户互动系统；4.系统开发：构建智能客户关系管理平台；5.服务优化：建立客户服务质量监控和改进机制,"企业名称：企业55
应用技术：AI大数据分析、多模态知识图谱、智能推荐算法
投资金额：未公开
目标：提升客户复购率，优化供需匹配效率。
降本/增效/提质：通过智能推荐系统，客户精准匹配率提升40%，复购率提高25%；日均处理智能问答超万次，响应时间缩短60%。
来源网址：[已脱敏链接]"
92,,智能财务分析助手,合作开发,2027Q2-2027Q3,8,运营管理,财务数据整合，分析模型建立，指标体系完善,深度分析财务数据，提供精准的财务洞察和建议,数据分析、财务建模,小模型,财务数据、业务数据、市场数据,可行性高：财务数据相对完整,财务管理部,1.财务模型：构建财务分析指标体系和分析模型；2.数据整合：对接财务系统、业务系统数据；3.算法开发：开发财务异常检测和趋势预测算法；4.可视化平台：构建财务分析仪表板和报告系统；5.决策支持：提供财务决策建议和风险预警,"企业名称：企业56
应用技术：国产大模型（DeepSeek/Qwen）、智能校验规则、自动化对接系统
投资金额：未公开
目标：提升财务处理效率，降低合规风险。
降本/增效/提质：单笔支付业务处理时间从2小时缩短至5分钟，预算指标校验准确率达100%；通过智能分析集采业务税收优惠，年节省税费超200万元。
来源网址：[已脱敏链接]"
93,,智能资产管理,合作开发,2027Q1-2027Q3,8,运营管理,资产数据整合，资产管理流程数据化,智能化资产全生命周期管理，提高资产利用效率,资产管理、RFID、数据分析,小模型,资产数据、使用数据、维护数据,可行性高：资产数据相对完整,财务管理部、设备管理部,1.资产建模：构建资产分类体系和评估模型；2.数据采集：收集资产信息、使用数据、维护记录；3.算法开发：开发资产价值评估和优化算法；4.系统开发：构建智能资产管理平台；5.优化机制：建立资产配置优化和维护管理体系,"企业名称：企业57
应用技术：远程自动监控系统、物联网传感器、AI异常检测
投资金额：未公开
目标：优化门店资产管理，降低人工巡检成本。
降本/增效/提质：门店管理人员从25人减至3人，年人力成本节省200万元；配送差错率从0.03%降至0.0068%，库存周转率提升18%。
来源网址：[已脱敏链接]"
94,,智能预算管理,合作开发,2027Q2-2027Q4,8,运营管理,预算数据历史积累，预算模型建立,智能化预算编制和执行监控，提高预算精度和执行效率,预算建模、数据分析,小模型,历史预算数据、业务数据、执行数据,可行性高：预算数据相对完整,财务管理部,1.预算模型：构建预算编制模型和审批流程；2.数据整合：收集历史预算数据和业务预测数据；3.算法开发：开发预算分配优化和预测算法；4.系统开发：构建智能预算管理平台；5.监控机制：建立预算执行监控和调整机制,"企业名称：企业56
应用技术：预算管理一体化系统、AI预测模型、自动化校验引擎
投资金额：未公开
目标：提升预算编制准确性，优化资源配置。
降本/增效/提质：预算编制周期从2周缩短至3天，预算执行偏差率从15%降至5%；通过智能预测药品采购需求，库存积压成本降低30%。
来源网址：[已脱敏链接]"
95,,智能投资分析,合作开发,2027Q2-2027Q3,11,运营管理,投资数据整合，投资分析模型建立,智能化投资决策支持，提高投资回报率和降低投资风险,投资分析模型、机器学习,大模型+小模型,投资数据、市场数据、风险数据,可行性中：需要复杂的投资分析模型,投资发展部、战略与证券事务部,1.投资模型：构建投资评估模型和风险分析框架；2.数据收集：整合市场数据、财务数据、行业数据；3.算法开发：开发投资组合优化和风险评估算法；4.系统开发：构建智能投资分析平台；5.决策支持：提供投资决策建议和效果评估,"PharmAID决策智能体平台（复星医药）：深度融合大模型技术，用于药物商业价值辅助决策。在结合点位预测、毒理优化等方面提升研发效率。提升药物研发决策的准确性和效率，加速研发成果转化。
[已脱敏链接]
[已脱敏链接]
[已脱敏链接]

DARWEN™ AI 平台（HEALWELL AI）：利用AI生成监管级真实世界数据（RWD）。曾与武田制药合作，分析药物在溃疡性结肠炎和克罗恩病中的剂量优化效果。为药品的商业价值和临床价值提供数据洞察，支持患者准入和行业发展。
[已脱敏链接]"
96,,智能市场分析,合作开发,2027Q4-2028Q1,8,运营管理,市场数据源整合，分析模型建立,深度分析市场趋势和机会，支持业务决策和战略规划,市场分析、数据挖掘,大模型+小模型,市场数据、竞争对手数据、行业数据,可行性中：需要外部市场数据,战略与证券事务部、市场部,1.市场模型：构建市场分析框架和指标体系；2.数据采集：收集市场数据、消费者数据、竞争数据；3.算法开发：开发市场趋势预测和机会识别算法；4.系统开发：构建智能市场分析平台；5.策略支持：提供市场策略建议和效果评估,"企业名称：企业55
应用技术：AI供需分析模型、价格趋势预测算法、区块链溯源系统
投资金额：未公开
目标：优化市场供需匹配，提升交易透明度。
降本/增效/提质：市场供需预测准确率提升35%，中药材价格波动风险降低40%；通过智能分析产区数据，交易撮合效率提高60%。
来源网址：[已脱敏链接]"
97,,智能竞争情报,合作开发,2028Q1-2028Q3,11,运营管理,竞争情报数据源整合，情报分析模型建立,实时监控竞争对手动态，提供竞争策略建议,情报分析、网络爬虫、NLP,大模型,竞争对手数据、公开信息、市场数据,可行性中：需要外部数据整合,战略与证券事务部、市场部,1.情报体系：构建竞争情报收集和分析体系；2.数据采集：整合公开数据、行业报告、社交媒体数据；3.算法开发：开发竞争分析和趋势预测算法；4.系统开发：构建智能竞争情报平台；5.预警机制：建立竞争动态预警和应对策略系统,"智慧芽新药情报库 & AI助手“芽仔”：智慧芽生物医药大模型(PharmaGPT)、自然语言处理(NLP)、知识图谱——
✅ 药物竞争格局分析：分析药物管线、临床结果、专利文献，支持项目估值和竞品调研 。
✅ 智能情报监控：监控全球药政官网、临床试验、专利等数据，支持设置提醒 。
✅ AI对话式检索：通过自然语言提问，快速获取药物作用机制、市场竞争力等多维情报 。
[已脱敏链接]
[已脱敏链接]"
98,,OA智能员工助手,合作开发,2027Q2-2027Q4,8,运营管理,员工服务知识库建设，服务流程数据化,构建24小时在线的多模态交互助手，基于制度知识库，解答薪酬福利、假期申请等问题，并根据语音/文字指令完成入职、离职、请假、出差、报销流程等动作。,对话系统、知识库、智能客服,大模型,员工服务知识库、服务流程数据,可行性高：客服机器人技术成熟,人力资源部、办公室,1.需求分析：梳理员工日常办公需求和痛点；2.功能设计：设计智能问答、任务管理、信息检索等功能；3.技术开发：集成语音识别、NLP、知识图谱等技术；4.系统集成：与OA系统、邮件系统、日历系统对接；5.推广应用：制定推广策略和使用培训计划,"今日人才“会议大师”智能体实现会议全流程自动化（从议程生成到纪要督办），行政人力成本降低。
[已脱敏链接]"
99,,会议管理智能体,合作开发,2027Q1-2027Q3,5,运营管理,会议管理流程数据化，会议室资源数据化；需提前预设会议名称/规则，提供模板,智能化会议安排和管理，提高会议效率和资源利用率：通过分析历史协作数据，智能推荐会议参与人、资源分配方案，并动态优化跨部门任务优先级（会议室编排与申请，关联会议配置，包括席卡、耳麦、茶水；生成各部门职责分工/进度）,智能调度、资源管理,大模型+小模型,会议数据、人员数据、资源数据,可行性高：会议管理逻辑相对简单,办公室、各业务部门,1.会议流程：梳理会议组织和管理流程；2.功能设计：设计议程生成、会议记录、任务分配等功能；3.技术开发：开发语音识别、NLP、智能摘要等技术；4.系统集成：与日历、邮件、OA系统对接；5.效果评估：建立会议效率评估和优化机制,"通达AI智能助手支持语音创建会议、自动分配资源，会议冲突率下降会议室利用率大幅提升。
[已脱敏链接]"
100,,智能网络安全监控系统,合作开发,2027Q2-2028Q2,14,运营管理,网络安全设备部署，安全策略数据化,智能化网络安全防护，提高网络安全防范能力,网络安全、入侵检测、威胁情报,小模型,网络流量数据、安全日志数据,可行性中：需要网络安全专业技术,IT部门、安全生产部门,1.安全模型：构建网络安全风险模型和防护体系；2.数据采集：收集网络流量、系统日志、安全事件数据；3.算法开发：开发异常检测和威胁识别算法；4.系统开发：构建智能网络安全监控平台；5.响应机制：建立安全事件响应和处置流程,"企业名称：企业58
应用技术：DeepSeek大模型、动态测绘技术、智能联动防御系统
投资金额：未公开
目标：提升网络安全防护能力，降低攻击风险。
降本/增效/提质：网络攻击识别准确率达98%，平均响应时间从30分钟缩短至15分钟；通过智能联动防御，安全事件处置效率提升80%。
来源网址：[已脱敏链接]"
101,,党委宣传智能助手,合作开发,2026Q1-2026Q3,8,运营管理,1.完成宣传文档数据整合（梳理近2年内部宣传稿、活动素材，补全非结构化数据标签）；2.适配现有私有化大模型（基于数创部已部署的内部大模型，开发宣传场景专用插件）；3.建立宣传内容合规知识库（整合党委宣传规范、医药行业宣传政策）,1.自动优化宣传文件（如新闻稿、活动通知），内容修改效率提升60%，避免合规风险；2.支持文生图/图生图功能（如宣传海报生成），设计周期从3天缩短至4小时；3.减少人工创作与审核工作量，每年节约人力成本8万元,NLP（文本优化）、文生图模型（StableDiffusion适配）、知识图谱（宣传合规规则）、RPA（文档分发）,大模型,1.内部：党委宣传文档库、历史活动素材、私有化大模型训练数据；2.外部：医药行业宣传政策文件、合规图片素材库（如无版权医药相关图片）,可行性高：1.已有私有化大模型基础，无需重新部署算力；2.宣传数据可通过内部整理补全，非结构化数据处理难度低；3.文生图、文本优化技术成熟，合作定制可快速适配业务场景,党务部门,1.内容库建设：构建党委宣传内容库和素材库；2.智能创作：开发宣传内容自动生成和优化算法；3.渠道管理：构建多渠道内容发布和管理系统；4.系统开发：构建党委宣传智能助手平台；5.效果分析：建立宣传效果评估和优化机制,"杭州医学院：党员教育创新——制作112个AI数字人微党课视频，方便碎片化学习。
[已脱敏链接]"
102,,公文智能写作,合作开发,2026Q2-2026Q4,8,运营管理,1.公文模板标准化（梳理公司常用公文类型，如通知、报告、请示，制定统一模板）；2.对接现有知识库智能体（复用数创部已上线的知识库，补充公文写作规范）；3.打通OA系统接口（确保生成公文可直接同步至OA审批流程）,1.基于需求自动生成公文初稿（如“会议通知”“工作报告框架”），写作时间从8小时缩短至1小时；2.公文格式合规率达98%，避免格式修改反复；3.支持公文内容智能校对（如错别字、标点错误、表述规范），审核效率提升50%,NLP（文本生成与校对）、模板引擎、知识图谱（公文写作规范）、RPA（OA同步）,大模型,1.内部：公司公文历史档案、OA系统流程数据、知识库智能体中的公文规范；2.外部：国家行政机关公文处理办法、医药行业公文写作案例,可行性高：1.公文模板标准化难度低（公司已有固定公文类型）；2.可复用现有知识库智能体，减少开发成本；3.OA系统接口具备开放性，RPA对接难度小,办公室（公文写作组）、各部门行政岗,1.模板梳理：联合各部门整理10类常用公文模板，明确“标题格式”“正文结构”“落款要求”等要素；2.知识补充：将公文写作规范（如《党政机关公文处理工作条例》）录入知识库智能体，关联历史公文案例；3.系统开发：开发公文写作模块，支持“需求输入→模板匹配→初稿生成→智能校对”流程；4.流程对接：用RPA将生成公文同步至OA系统，触发审批流程；5.培训推广：组织公文写作人员开展1次操作培训，1个月内完成全公司推广,"今日人才“公文写作助手”支持自动生成会议纪要、合规报告等文档，格式错误率下降、写作时间大幅缩短。
[已脱敏链接]"
103,,党群报表自动生成,采购现有解决方案,2027Q1-2027Q2,5,运营管理,1.党群数据整合（打通HR系统员工党建信息、党建活动记录系统、党员考核数据，解决跨系统数据孤岛问题）；2.报表模板标准化（制定党员人数统计、活动开展情况、考核结果等15类常用报表模板）；3.对接现有BI报表工具（基于公司已试点的BI工具，开发党群报表专用模块）,1.自动抓取数据生成党群报表，生成周期从5天缩短至2小时，报表准确率达99%；2.减少人工统计与核对工作量（如党员人数跨省统计），每年节约人力成本6万元；3.支持报表动态钻取（如“党员人数→部门分布→入党时间”），满足多维度分析需求,RPA（数据抓取）、BI分析（报表生成）、数据可视化、规则引擎（报表逻辑）,小模型,1.内部：HR系统（党员信息）、党建活动系统（活动记录）、党员考核系统（考核分数）、现有BI报表数据；2.外部：上级党委报表要求文档,可行性高：1.党群数据集中在内部系统，整合难度低（HR、党建系统均为公司自有）；2.已有BI工具基础，开发专用模块成本低；3.报表逻辑固定（如党员人数=在职党员+退休党员），规则引擎易配置,办公室（党群工作组）、各分子公司党群部门,1.数据打通：开发HR系统、党建活动系统、考核系统的数据接口，建立党群数据中台，确保数据实时同步；2.模板制定：根据上级党委要求与内部需求，制定15类报表模板，明确数据来源与计算逻辑；3.模块开发：在现有BI工具中开发党群报表模块，支持自动抓取数据、生成报表、导出Excel/PDF；4.钻取配置：设置报表动态钻取规则，支持从汇总数据下钻至明细数据；5.试点验证：先在江苏省内分子公司试点，优化后推广至全国，确保符合上级报表要求,"国药医疗健康产业有限公司——致远互联AI-COP智能协同运营平台，搭建党建管理系统，旨在提升党建工作水平，推动党组织规范化建设。
[已脱敏链接]"
104,,行政费用异常检测,采购现有解决方案,2027Q1-2027Q3,8,运营管理,1.行政费用数据标准化（梳理财务系统中行政费用类目，统一“办公费”“差旅费”“招待费”等字段口径）；2.异常检测规则库建立（如“单次招待费超5000元”“差旅费超部门月度预算30%”）；3.对接财务报销系统,1.实时识别行政费用异常，异常识别率从60%提升至92%，避免不合理支出（如超标准招待）；2.异常处理时间从24小时缩短至2小时，减少人工排查工作量；3.每年减少不合理行政支出12万元，行政费用率降低2%,异常检测算法（孤立森林）、数据挖掘（费用趋势分析）、规则引擎（异常阈值）、可视化预警,小模型,1.内部：财务系统（行政费用报销数据）、OA系统（部门预算数据）、历史异常费用案例；2.外部：医药行业行政费用基准数据（如人均办公费标准）,可行性高：1.行政费用数据集中在财务系统，格式规范，标准化难度低；2.异常规则多为量化指标（如金额、预算占比），规则引擎易配置；3.孤立森林算法成熟，对数据量要求低，现有数据可支撑,财务管理部（费用管控组）、办公室（行政组）,1.数据标准化：联合财务与行政部门，统一行政费用类目与统计口径，补全历史费用数据中的缺失字段；2.规则制定：梳理18类异常场景，设置阈值（如“招待费人均超300元”“差旅费无明细支撑”），录入规则引擎；3.模型训练：基于近2年行政费用数据训练孤立森林模型，优化异常识别精度；4.系统对接：将检测模块嵌入财务报销系统，报销时实时触发异常检测，推送预警至费用管控组；5.效果复盘：每月分析异常检测准确率，调整规则阈值（如旺季适当放宽差旅费预算占比）,"汇联易「合小E」：AI大模型、RAG、风控模型MI三合一；多语言票据识别
识别如“时间矛盾”、“空间穿越”、“重复报销”等违规操作，拦截率高达75%；帮助某企业年度节约违规支出超300万元。
[已脱敏链接]
[已脱敏链接]"
105,,客户信用风险管理,采购现有解决方案,2027Q4-2028Q4,8,运营管理,1.客户数据整合（打通CRM系统客户信息、财务系统应收账款数据、销售系统交易记录，解决信息孤岛问题）；2.信用评估模型建立（含“偿债能力”“交易历史”“行业风险”3类10项指标）；3.对接外部征信平台（如企查查、信用中国）,1.智能评估客户信用等级（准确率85%），坏账率从8%降至3%，每年减少坏账损失150万元；2.信用风险预警提前1-2个月，避免高风险客户合作（如濒临破产的医疗机构）；3.客户信用评估周期从7天缩短至1天，提升合作决策效率,机器学习（信用评分模型）、风险建模（逻辑回归+随机森林）、知识图谱（客户-交易-风险关联）、实时数据处理,大模型+小模型,1.内部：CRM系统（客户规模、合作年限）、财务系统（应收账款账期、付款记录）、销售系统（交易金额、频次）；2.外部：企查查（客户工商信息、失信记录）、信用中国（行政处罚信息）、医药行业客户信用报告,可行性中：1.内部客户数据可通过接口整合，但需协调CRM、财务、销售跨部门数据，周期约1个月；2.外部征信平台接口开放，对接成本低，但需签订数据使用协议；3.信用评估模型需6个月以上历史数据训练，现有交易数据可支撑,风险管理部、销售部门（客户管理组）、财务管理部（应收组）,1.数据整合：开发CRM、财务、销售系统数据接口，建立客户信用数据中台，统一客户唯一标识（如客户编码）；2.指标设计：制定信用评估指标（偿债能力40%：资产负债率；交易历史30%：付款准时率；行业风险30%：医药行业景气度）；3.模型训练：基于历史坏账案例与优质客户数据，训练信用评分模型，划分A/B/C/D四级信用等级；4.预警部署：设置风险阈值（如C级客户超500万元授信），触发预警后推送至销售与风控部门，配套风险应对方案；5.迭代优化：每季度更新外部征信数据，调整模型指标权重（如集采政策影响下，医院客户风险权重提升）,"云南省生物医药可信供应链金融平台利用区块链数据可追溯且难以篡改的特性，使上下游中小药商的交易数据和信用数据更加透明、可信。
[已脱敏链接]"
106,,应收账款风险管理,合作开发,2026Q3-2027Q1,8,运营管理,1.应收账款数据整合（打通ERP系统应收单据、财务系统账期数据、CRM系统客户信用数据）；2.账期管理规则库建立（如“公立医院账期≤90天”“连锁药店账期≤60天”）；3.对接客户信用风险管理系统（复用项目105的信用等级数据）,1.智能管理应收账款账期，逾期率从15%降至5%，每年减少逾期资金占用成本60万元；2.自动计算客户授信额度（基于信用等级与交易规模），避免超额授信；3.催款提醒自动化（如账期到期前3天推送提醒），催款效率提升70%,机器学习（逾期预测模型）、RPA（催款通知发送）、规则引擎（账期与授信规则）、数据关联分析（信用-账期-逾期关联）,小模型,1.内部：ERP系统（应收金额、单据日期）、财务系统（账期设置、付款记录）、CRM系统（客户联系方式）、客户信用系统（信用等级，项目105输出）；2.外部：客户财务状况数据（如医院年度预算）、医药行业应收账款基准账期,可行性高：1.内部应收账款数据集中在ERP与财务系统，接口标准化，整合周期2周；2.可复用客户信用系统数据，无需重复建模；3.账期规则明确（按客户类型划分），规则引擎配置难度低,财务管理部（应收组）、销售部门（客户维护组）,1.数据打通：对接ERP、财务、CRM与客户信用系统，建立应收账款数据中台，关联“客户-应收单据-信用等级”；2.规则配置：按客户类型（公立医院、连锁药店、个体诊所）设置账期与授信规则，录入规则引擎；3.模型开发：训练逾期预测模型，基于“信用等级+账期剩余天数+交易金额”预测逾期概率；4.自动化部署：RPA自动发送催款通知（短信+邮件），逾期风险高的客户推送至销售部门跟进；5.效果跟踪：每月分析逾期率与催款效果，调整账期规则（如对优质A类客户放宽账期至120天）,"国药集团建立客户价值度分析模型，通过资信一体化平台对客户进行统一授信，避免多头授信风险；每月逐笔制定回求求计划，并加强应收账款对账，建立逾期账款清收机制。
[已脱敏链接]"
